,bug_id,bug report text,bug report description,generated patch id,patch text,label
0,Closure,Incorrect assignment removal expression simple mode,None,None,None,1
0,Closure,Wrong type name reported missing property error,None,None,None,1
0,Closure,Identifier minus negative number needs space,None,None,None,1
0,Closure,goog addSingletonGetter prevents unused class removal,None,None,None,1
0,Closure,Add support manage closure dependencies closure dependencies compilation level WHITESPACE,None,None,None,1
0,Closure,unicode characters property names result invalid output,None,None,None,1
0,Closure,support lends annotation,None,None,None,1
0,Closure,String escaping mishandles null byte,None,None,None,1
0,Closure,Column indicating caret sometimes error output,None,None,None,1
0,Closure,Missing type checks var args notation,None,None,None,1
0,Closure,Constructor types return unknown fail parse,None,None,None,1
0,Closure,assignment issues dangerous use global object warning,None,None,None,1
0,Closure,Prototype methods used constructor case prototype explicitly defined,None,None,None,1
0,Closure,Variable names prefixed MSG cause error advanced optimizations,None,None,None,1
0,Closure,bad variable inlining closure,None,None,None,1
0,Closure,compiler 20110811 crashes index 1 must less size 1,None,None,None,1
0,Closure,Combining temporary strings optimized advanced build,None,None,None,1
0,Closure,incomplete function definition crashes compiler ideMode enabled,None,None,None,1
0,Closure,externExport typedef generate invalid externs,None,None,None,1
0,Closure,Exception thrown com google javascript jscomp CollapseProperties addStubsForUndeclaredProperties,None,None,None,1
0,Closure,Prototypes declared quotes produce JSC USED GLOBAL warning,None,None,None,1
0,Closure,Converts string properties numbers literal object definitions,None,None,None,1
0,Closure,process closure primitives set false,None,None,None,1
0,Closure,Exception emitting code containing getters,None,None,None,1
0,Closure,Unsigned Shift Right bug operating negative numbers,None,None,None,1
0,Closure,precondition crash goog scope local aliased type declaration,None,None,None,1
0,Closure,arguments moved another scope,None,None,None,1
0,Closure,language ECMASCRIPT5 STRICT results 1 use strict per input file,None,None,None,1
0,Closure,emits warning used typedef,None,None,None,1
0,Closure,ClassCastException TypeCheck pass,None,None,None,1
0,Closure,RuntimeException compiling extern prototype,None,None,None,1
0,Closure,Template types methods incorrectly trigger inference template class template type unknown,None,None,None,1
0,Closure,ADVANCED mode Compiler fails warn overridden methods different signatures,None,None,None,1
0,Closure,Erroneous optimization ADVANCED OPTIMIZATIONS mode,None,None,None,1
0,Closure,Cannot see version version,None,None,None,1
0,Closure,\0 \x00 \u0000 translated null character,None,None,None,1
0,Closure,Generates code invalid left hand assignment,None,None,None,1
0,Closure,Type checking error replacing function stub calling,None,None,None,1
0,Closure,unexpected typed coverage less 100,None,None,None,1
0,Closure,Invalid left hand side assignment detected,None,None,None,1
0,Closure,Different output RestAPI command line jar,None,None,None,1
0,Closure,goog scope properly check declared functions,None,None,None,1
0,Closure,tryFoldArrayAccess check side effects,None,None,None,1
0,Closure,Converting interface type constructor implements causes stack overflow,None,None,None,1
0,Closure,Switched order delete key key statements changes semantic,None,None,None,1
0,Closure,optimization fails variable catch clause,None,None,None,1
0,Closure,Try catch blocks incorporate code inside original blocks,None,None,None,1
0,Closure,Reproduceable crash switch statement,None,None,None,1
0,Closure,warnings private prop redeclared subclass,None,None,None,1
0,Closure,IllegalStateException com google javascript rhino jstype FunctionType getInstanceType,None,None,None,1
0,Closure,Assignments within conditions sometimes incorrectly removed,None,None,None,1
0,Closure,indexOf fails produce missing property warning,None,None,None,1
0,Closure,Incorrect output function assigned variable function contains variable name,None,None,None,1
0,Closure,Inconsistent handling non JSDoc comments,None,None,None,1
0,Closure,smartNameRemoval causing compiler crash,None,None,None,1
0,Closure,Crash web closure compiler,None,None,None,1
0,Closure,Original source line numbers one based source maps,None,None,None,1
0,Closure,Bug require calls processing,None,None,None,1
0,Closure,division zero wrongly throws JSC DIVIDE 0 ERROR,None,None,None,1
0,Closure,combining interface multiple extends crash compiler,None,None,None,1
0,Closure,true false always replaced 0 1,None,None,None,1
0,Closure,Compiler ignores delete statements break functionality,None,None,None,1
0,Closure,bogus missing return warning,None,None,None,1
0,Closure,Classify non rightmost expressions problematic,None,None,None,1
0,Closure,anonymous object type inference behavior different calling constructors,None,None,None,1
0,Chart,Error TimeSeries createCopy method,test case end fails java lang IllegalArgumentException Requires start end problem int start end indexes corresponding given timePeriod computed incorectly would expect empty serie returned exception jfreechart 1 0 7,test case end fails java lang IllegalArgumentException Requires start end problem int start end indexes corresponding given timePeriod computed incorectly would expect empty serie returned exception jfreechart   ,test case end fails java lang IllegalArgumentException Requires start end problem int start end indexes corresponding given timePeriod computed incorectly would expect empty serie returned exception jfreechart,1
0,Chart,JCommon 1 0 12 ShapeUtilities equal path1 path2,comparison two GeneralPath objects uses PathIterator objects equal GeneralPath path1 GeneralPath path2 thus return true pair non null GeneralPath instances windingRule,comparison two GeneralPath objects uses PathIterator objects equal GeneralPath path GeneralPath path thus return true pair non null GeneralPath instances windingRule,comparison two GeneralPath objects uses PathIterator objects equal GeneralPath path GeneralPath path thus return true pair non null GeneralPath instances windingRule,1
0,Chart,Bug propgated v1 0 5 present,method getRowCount class org jfree data category DefaultIntervalCategoryDataset says Returns number series dataset possibly zero implementation v1 0 5 longer checks null condition would return zero seriesKeys v1 0 4 previous throws Null Pointer seriesKeys never got initialized getRowCount method called,method getRowCount class org jfree data category DefaultIntervalCategoryDataset says Returns number series dataset possibly zero implementation v   longer checks null condition would return zero seriesKeys v   previous throws Null Pointer seriesKeys never got initialized getRowCount method called,method getRowCount class org jfree data category DefaultIntervalCategoryDataset says Returns number series dataset possibly zero implementation v longer checks null condition would return zero seriesKeys v previous throws Null Pointer seriesKeys never got initialized getRowCount method called,1
0,Chart,cloning TimeSeries,minor bug clone TimeSeries items get IllegalArgumentException Requires start end think user responsible checking whether TimeSeries items,minor bug clone TimeSeries items get IllegalArgumentException Requires start end think user responsible checking whether TimeSeries items,minor bug clone TimeSeries items get IllegalArgumentException Requires start end think user responsible checking whether TimeSeries items,1
0,Chart,Potential NPE AbstractCategoryItemRender getLegendItems,Setting working copy current JFreeChart trunk Eclipse got warning null pointer access bit code AbstractCategoryItemRender java warning last code line seriesCount assigned variable dataset guaranteed null location suppose check actually read dataset null dataset null,Setting working copy current JFreeChart trunk Eclipse got warning null pointer access bit code AbstractCategoryItemRender java warning last code line seriesCount assigned variable dataset guaranteed null location suppose check actually read dataset null dataset null,Setting working copy current JFreeChart trunk Eclipse got warning null pointer access bit code AbstractCategoryItemRender java warning last code line seriesCount assigned variable dataset guaranteed null location suppose check actually read dataset null dataset null,1
0,Chart,Fix MultiplePiePlot,dataset passed constructor MultiplePiePlot dataset wired listener would setDataset called,dataset passed constructor MultiplePiePlot dataset wired listener would setDataset called,dataset passed constructor MultiplePiePlot dataset wired listener would setDataset called,1
0,Chart,Bugs DatasetUtilities iterateRangeBounds methods,None,None,None,1
0,Chart,XYSeries addOrUpdate add duplicates allowed,found bug jfreechart 1 0 9 code org jfree data xy XYSeries change time ago introduced notion allowing duplicate X values XYSeries data method addOrUpdate Number x Number never modified support therefore duplicate data overwriting existing data,found bug jfreechart    code org jfree data xy XYSeries change time ago introduced notion allowing duplicate X values XYSeries data method addOrUpdate Number x Number never modified support therefore duplicate data overwriting existing data,found bug jfreechart code org jfree data xy XYSeries change time ago introduced notion allowing duplicate X values XYSeries data method addOrUpdate Number x Number never modified support therefore duplicate data overwriting existing data,1
0,Math,Dangerous code PoissonDistributionImpl,following excerpt class PoissonDistributionImpl PoissonDistributionImpl java public PoissonDistributionImpl double p NormalDistribution z super setNormal z setMean p 1 Overridable methods called within constructor 2 reference z stored modified within class encountered problem 1 several classes working issue 348 cases order remove potential problems copied pasted body setter methods inside constructor think elegant solution would remove setters altogether e make classes immutable Problem 2 also create unexpected behaviour really necessary pass NormalDistribution object always created within class,following excerpt class PoissonDistributionImpl PoissonDistributionImpl java public PoissonDistributionImpl double p NormalDistribution z super setNormal z setMean p  Overridable methods called within constructor  reference z stored modified within class encountered problem  several classes working issue  cases order remove potential problems copied pasted body setter methods inside constructor think elegant solution would remove setters altogether e make classes immutable Problem  also create unexpected behaviour really necessary pass NormalDistribution object always created within class,following excerpt class PoissonDistributionImpl PoissonDistributionImpl java public PoissonDistributionImpl double p NormalDistribution z super setNormal z setMean p Overridable methods called within constructor reference z stored modified within class encountered problem several classes working issue cases order remove potential problems copied pasted body setter methods inside constructor think elegant solution would remove setters altogether e make classes immutable Problem also create unexpected behaviour really necessary pass NormalDistribution object always created within class,1
0,Math,denominatorDegreeOfFreedom FDistribution leads IllegalArgumentsException UnivariateRealSolverUtils bracket,using FDistributionImpl commons math project statistical calculations namely receiving upper lower boundaries confidence interval Everything working fine results matching reference calculations However FDistribution behaves strange denominatorDegreeOfFreedom 2 used alpha value 0 95 results IllegalArgumentsException stating Invalid endpoint parameters lowerBound 0 0 initial Infinity upperBound 1 7976931348623157E308 coming org apache commons math analysis UnivariateRealSolverUtils bracket problem initial parameter function wich POSITIVE INFINITY therefore within boundaries already pinned problem FDistributions getInitialDomain method wich goes like return getDenominatorDegreesOfFreedom getDenominatorDegreesOfFreedom 2 0 Obviously case denominatorDegreesOfFreedom 2 must lead division zero resulting POSTIVE INFINITY result operation directly passed UnivariateRealSolverUtils bracket method second argument,using FDistributionImpl commons math project statistical calculations namely receiving upper lower boundaries confidence interval Everything working fine results matching reference calculations However FDistribution behaves strange denominatorDegreeOfFreedom  used alpha value   results IllegalArgumentsException stating Invalid endpoint parameters lowerBound   initial Infinity upperBound  E coming org apache commons math analysis UnivariateRealSolverUtils bracket problem initial parameter function wich POSITIVE INFINITY therefore within boundaries already pinned problem FDistributions getInitialDomain method wich goes like return getDenominatorDegreesOfFreedom getDenominatorDegreesOfFreedom   Obviously case denominatorDegreesOfFreedom  must lead division zero resulting POSTIVE INFINITY result operation directly passed UnivariateRealSolverUtils bracket method second argument,using FDistributionImpl commons math project statistical calculations namely receiving upper lower boundaries confidence interval Everything working fine results matching reference calculations However FDistribution behaves strange denominatorDegreeOfFreedom used alpha value results IllegalArgumentsException stating Invalid endpoint parameters lowerBound initial Infinity upperBound E coming org apache commons math analysis UnivariateRealSolverUtils bracket problem initial parameter function wich POSITIVE INFINITY therefore within boundaries already pinned problem FDistributions getInitialDomain method wich goes like return getDenominatorDegreesOfFreedom getDenominatorDegreesOfFreedom Obviously case denominatorDegreesOfFreedom must lead division zero resulting POSTIVE INFINITY result operation directly passed UnivariateRealSolverUtils bracket method second argument,1
0,Math,FastMath max 50 0f 50 0f 50 0f 50 0f,FastMath max 50 0f 50 0f 50 0f 50 0f wrong variable returned bug detected test case testMinMaxFloat bug tests doubles floats,FastMath max  f  f  f  f wrong variable returned bug detected test case testMinMaxFloat bug tests doubles floats,FastMath max f f f f wrong variable returned bug detected test case testMinMaxFloat bug tests doubles floats,1
0,Math,MathUtils binomialCoefficient n k fails large results,Probably due rounding errors MathUtils binomialCoefficient n k fails results near Long MAX VALUE existence failures demonstrated testing recursive property assertEquals MathUtils binomialCoefficient 65 32 MathUtils binomialCoefficient 65 33 MathUtils binomialCoefficient 66 33 directly using externally calculated hopefully correct expected value assertEquals 7219428434016265740L MathUtils binomialCoefficient 66 33 suggest nonrecursive test implementation along lines MathUtilsTest java Exact implementation using BigInteger explicit formula n k k 1 n 1 n k public static long binomialCoefficient int n int k k 0 || k n return 1 BigInteger result BigInteger ONE int k 1 n result result multiply BigInteger valueOf int 1 n k result result divide BigInteger valueOf result compareTo BigInteger valueOf Long MAX VALUE 0 throw new ArithmeticException Binomial coefficient overflow n k return result longValue would allow test expected values directly assertEquals binomialCoefficient 66 33 MathUtils binomialCoefficient 66 33,Probably due rounding errors MathUtils binomialCoefficient n k fails results near Long MAX VALUE existence failures demonstrated testing recursive property assertEquals MathUtils binomialCoefficient   MathUtils binomialCoefficient   MathUtils binomialCoefficient   directly using externally calculated hopefully correct expected value assertEquals L MathUtils binomialCoefficient   suggest nonrecursive test implementation along lines MathUtilsTest java Exact implementation using BigInteger explicit formula n k k  n  n k public static long binomialCoefficient int n int k k  || k n return  BigInteger result BigInteger ONE int k  n result result multiply BigInteger valueOf int  n k result result divide BigInteger valueOf result compareTo BigInteger valueOf Long MAX VALUE  throw new ArithmeticException Binomial coefficient overflow n k return result longValue would allow test expected values directly assertEquals binomialCoefficient   MathUtils binomialCoefficient  ,Probably due rounding errors MathUtils binomialCoefficient n k fails results near Long MAX VALUE existence failures demonstrated testing recursive property assertEquals MathUtils binomialCoefficient MathUtils binomialCoefficient MathUtils binomialCoefficient directly using externally calculated hopefully correct expected value assertEquals L MathUtils binomialCoefficient suggest nonrecursive test implementation along lines MathUtilsTest java Exact implementation using BigInteger explicit formula n k k n n k public static long binomialCoefficient int n int k k || k n return BigInteger result BigInteger ONE int k n result result multiply BigInteger valueOf int n k result result divide BigInteger valueOf result compareTo BigInteger valueOf Long MAX VALUE throw new ArithmeticException Binomial coefficient overflow n k return result longValue would allow test expected values directly assertEquals binomialCoefficient MathUtils binomialCoefficient,1
0,Math,Bugs BrentOptimizer,apologize provided buggy implementation Brent optimization algorithm class BrentOptimizer package optimization univariate unit tests show something wrong although changes xml file discovered time Luc noticed something weird implementation behaviour Comparing implementation Python could figure fixes modify BrentOptimizer add test also propose change name unit test class BrentMinimizerTest BrentOptimizerTest,apologize provided buggy implementation Brent optimization algorithm class BrentOptimizer package optimization univariate unit tests show something wrong although changes xml file discovered time Luc noticed something weird implementation behaviour Comparing implementation Python could figure fixes modify BrentOptimizer add test also propose change name unit test class BrentMinimizerTest BrentOptimizerTest,apologize provided buggy implementation Brent optimization algorithm class BrentOptimizer package optimization univariate unit tests show something wrong although changes xml file discovered time Luc noticed something weird implementation behaviour Comparing implementation Python could figure fixes modify BrentOptimizer add test also propose change name unit test class BrentMinimizerTest BrentOptimizerTest,1
0,Math,Special functions accurate,Gamma Beta functions return values double precision default epsilon set 10e 9 think default set highest possible accuracy expect returned double precision routine Note erf function already uses call Gamma regularizedGammaP epsilon 1 0e 15,Gamma Beta functions return values double precision default epsilon set e  think default set highest possible accuracy expect returned double precision routine Note erf function already uses call Gamma regularizedGammaP epsilon  e ,Gamma Beta functions return values double precision default epsilon set e think default set highest possible accuracy expect returned double precision routine Note erf function already uses call Gamma regularizedGammaP epsilon e,1
0,Math,RegulaFalsiSolver failure,following unit test Test public void testBug final UnivariateRealFunction f new UnivariateRealFunction Override public double value double x return Math exp x Math pow Math PI 3 0 UnivariateRealSolver solver new RegulaFalsiSolver double root solver solve 100 f 1 10 fails illegal state maximal count 100 exceeded evaluations Using PegasusSolver answer found 17 evaluations,following unit test Test public void testBug final UnivariateRealFunction f new UnivariateRealFunction Override public double value double x return Math exp x Math pow Math PI   UnivariateRealSolver solver new RegulaFalsiSolver double root solver solve  f   fails illegal state maximal count  exceeded evaluations Using PegasusSolver answer found  evaluations,following unit test Test public void testBug final UnivariateRealFunction f new UnivariateRealFunction Override public double value double x return Math exp x Math pow Math PI UnivariateRealSolver solver new RegulaFalsiSolver double root solver solve f fails illegal state maximal count exceeded evaluations Using PegasusSolver answer found evaluations,1
0,Math,LevenbergMarquardtOptimizer ignores VectorialConvergenceChecker parameter passed,LevenbergMarquardtOptimizer ignores VectorialConvergenceChecker parameter passed makes hard specify custom stopping criteria optimizer,LevenbergMarquardtOptimizer ignores VectorialConvergenceChecker parameter passed makes hard specify custom stopping criteria optimizer,LevenbergMarquardtOptimizer ignores VectorialConvergenceChecker parameter passed makes hard specify custom stopping criteria optimizer,1
0,Math,ConvergenceException normal CDF,NormalDistributionImpl cumulativeProbability double x throws ConvergenceException x deviates much mean example x 100 mean 0 sd 1 course value CDF hard evaluate cases effectively either zero one,NormalDistributionImpl cumulativeProbability double x throws ConvergenceException x deviates much mean example x  mean  sd  course value CDF hard evaluate cases effectively either zero one,NormalDistributionImpl cumulativeProbability double x throws ConvergenceException x deviates much mean example x mean sd course value CDF hard evaluate cases effectively either zero one,1
0,Math,Truncation issue KMeansPlusPlusClusterer,loop inside KMeansPlusPlusClusterer chooseInitialClusters defines variable int sum 0 variable type double rather int Using int causes method truncate distances points square roots integers especially bad distances points typically less 1 aside version 2 2 bug manifested making clusterer return empty clusters wonder EmptyClusterStrategy would still necessary bug fixed,loop inside KMeansPlusPlusClusterer chooseInitialClusters defines variable int sum  variable type double rather int Using int causes method truncate distances points square roots integers especially bad distances points typically less  aside version   bug manifested making clusterer return empty clusters wonder EmptyClusterStrategy would still necessary bug fixed,loop inside KMeansPlusPlusClusterer chooseInitialClusters defines variable int sum variable type double rather int Using int causes method truncate distances points square roots integers especially bad distances points typically less aside version bug manifested making clusterer return empty clusters wonder EmptyClusterStrategy would still necessary bug fixed,1
0,Math,BSPTree class recovery Euclidean 3D BRep,New work Thanks efforts code create BSPTree BoundaryRep Brep test Brep cube represented float array containing 8 3D points x z order array indices 12 triplets 12 faces cube construct BSPMesh shown code construct PolyhedronsSet problems extracting faces BSPTree reconstruct BRep attached code BSPMesh2 java shows small change 1 vertex positions causes corrects problem ideas,New work Thanks efforts code create BSPTree BoundaryRep Brep test Brep cube represented float array containing  D points x z order array indices  triplets  faces cube construct BSPMesh shown code construct PolyhedronsSet problems extracting faces BSPTree reconstruct BRep attached code BSPMesh java shows small change  vertex positions causes corrects problem ideas,New work Thanks efforts code create BSPTree BoundaryRep Brep test Brep cube represented float array containing points x z order array indices triplets faces cube construct BSPMesh shown code construct PolyhedronsSet problems extracting faces BSPTree reconstruct BRep attached code BSPMesh java shows small change vertex positions causes corrects problem ideas,1
0,Math,Need range checks elitismRate ElitisticListPopulation constructors,range check setting elitismRate via ElitisticListPopulation setElitismRate method via constructors,range check setting elitismRate via ElitisticListPopulation setElitismRate method via constructors,range check setting elitismRate via ElitisticListPopulation setElitismRate method via constructors,1
0,Math,chiSquare double expected long observed returning incorrect test statistic,ChiSquareTestImpl returning incorrect chi squared value implicit assumption public double chiSquare double expected long observed sum expected observed equal code int 0 observed length dev double observed expected sumSq dev dev expected calculation correct sum observed sum expected equal one must rescale expected value sum observed sum expected Ironically example unit test ChiSquareTestTest highlights error long observed1 500 623 72 70 31 double expected1 485 541 82 61 37 assertEquals chi square test statistic 16 4131070362 testStatistic chiSquare expected1 observed1 1E 10 assertEquals chi square p value 0 002512096 testStatistic chiSquareTest expected1 observed1 1E 9 16 413 correct expected values make sense 521 19403 581 37313 88 11940 65 55224 39 76119 sum expected equals 1296 sum observed R code r project org proves o1 1 500 623 72 70 31 e1 1 485 541 82 61 37 chisq test o1 p e1 rescale p TRUE Chi squared test given probabilities data o1 X squared 9 0233 df 4 p value 0 06052 chisq test o1 p e1 rescale p TRUE observed 1 500 623 72 70 31 chisq test o1 p e1 rescale p TRUE expected 1 521 19403 581 37313 88 11940 65 55224 39 76119,ChiSquareTestImpl returning incorrect chi squared value implicit assumption public double chiSquare double expected long observed sum expected observed equal code int  observed length dev double observed expected sumSq dev dev expected calculation correct sum observed sum expected equal one must rescale expected value sum observed sum expected Ironically example unit test ChiSquareTestTest highlights error long observed      double expected      assertEquals chi square test statistic   testStatistic chiSquare expected observed E  assertEquals chi square p value   testStatistic chiSquareTest expected observed E    correct expected values make sense           sum expected equals  sum observed R code r project org proves o       e       chisq test o p e rescale p TRUE Chi squared test given probabilities data o X squared   df  p value   chisq test o p e rescale p TRUE observed       chisq test o p e rescale p TRUE expected           ,ChiSquareTestImpl returning incorrect chi squared value implicit assumption public double chiSquare double expected long observed sum expected observed equal code int observed length dev double observed expected sumSq dev dev expected calculation correct sum observed sum expected equal one must rescale expected value sum observed sum expected Ironically example unit test ChiSquareTestTest highlights error long observed double expected assertEquals chi square test statistic testStatistic chiSquare expected observed E assertEquals chi square p value testStatistic chiSquareTest expected observed E correct expected values make sense sum expected equals sum observed R code r project org proves e chisq test p e rescale p TRUE Chi squared test given probabilities data X squared df p value chisq test p e rescale p TRUE observed chisq test p e rescale p TRUE expected,1
